NAME,ELEVATION,MONTAIN RANGE,REGION,GEO_COORDINATES,LATITUDE,LONGITUDE,KGP,DIADEM,KGS,KS,KNSSP,TZK,KBW,KMSL,DOG_FRIENDLY
Lysý vrch,611,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Wielka Czantoria,995,Beskid Śląski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Klimczok,1117,Beskid Śląski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Łamana Skała,929,Beskid Mały,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wielka Racza,1236,Beskid Żywiecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE
Pilsko,1542,Beskid Żywiecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jałowiec,1111,Beskid Żywiecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Polica,1369,Beskid Żywiecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Bukowiński Wierch,940,Beskid Żywiecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Lasek,868,Beskid Makowski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Babica,728,Beskid Makowski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Koskowa Góra,867,Beskid Makowski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Luboń Wielki,1022,Beskid Wyspowy,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Cwilin,1072,Beskid Wyspowy,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Modyń,1029,Beskid Wyspowy,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jaworz,921,Beskid Wyspowy,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Lubań,1225,Gorce,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jaworzyna Krynicka,1116,Beskid Sądecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
